Order No,Order Date,Customer Name,Address,City,State,Customer Type,Account Manager,Order Priority,Product Name,Product Category,Product Container,Ship Mode,Ship Date,Cost Price,Retail Price,Profit Margin,Order Quantity,Sub Total,Discount %,Discount $,Order Total,Shipping Cost,Total,CustomerID,Age,Age Group,Gender
4293-1,02-09-2014,Vivek Sundaresam,"152 Bunnerong Road,Eastgardens",Sydney,NSW,Small Business,Tina Carlton,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,04-09-2014,156.5,300.97,144.47,23.0,4533.52,2.0,194.83,4757.22,7.18,4291.55,742819,57,55-64,Male
5001-1,24-10-2015,Shahid Hopkins,"438 Victoria Avenue,Chatswood",Sydney,NSW,Corporate,Natasha Song,Medium,Bagged Rubber Bands,Office Supplies,Small Pack,Regular Air,26-10-2015,0.24,1.26,1.02,8.0,45.2,3.0,0.0,45.9,0.7,46.91,127889,54,45-54,Female
5004-1,13-03-2014,Dennis Pardue,"412 Brunswick St,Fitzroy",Melbourne,VIC,Consumer,Connor Betts,Not Specified,TechSavi Cordless Navigator Duo,Office Supplies,Small Box,Regular Air,13-03-2014,42.11,80.98,38.87,45.0,873.32,4.0,72.23,837.57,7.18,82.58,850416,41,35-44,Female
5009-1,18-02-2013,Sean Wendt,"145 Ramsay St,Haberfield",Sydney,NSW,Small Business,Phoebe Gour,Critical,Artisan Printable Repositionable Plastic Tabs,Office Supplies,Wrap Bag,Regular Air,20-02-2013,5.33,8.6,3.27,16.0,73.52,1.0,4.35,740.67,6.19,730.92,376728,72,65+,Male
5010-1,13-09-2014,Christina Vanderzanden,"188 Pitt Street,Sydney",Sydney,NSW,Small Business,Tina Carlton,Not Specified,Pizazz Drawing Pencil Set,Office Supplies,Wrap Bag,Express Air,17-09-2014,1.53,2.78,1.25,49.0,138.46,7.0,5.95,123.77,1.34,125.97,251976,26,25-34,Male
5011-1,24-11-2013,Patrick OBrill,"53 Riley Street,Woolloomooloo",Sydney,NSW,Home Office,Tina Carlton,Not Specified,"Alto Parchment Paper, Assorted Colors",Office Supplies,Wrap Bag,Regular Air,26-11-2013,4.59,7.28,2.69,45.0,197.36,8.0,12.98,183.58,11.15,189.43,418539,45,45-54,Male
5012-1,07-09-2014,Eugene Moren,"85-113 Dunning Ave,Rosebery",Sydney,NSW,Consumer,Mihael Khan,Not Specified,Smiths Metal Binder Clips,Office Supplies,Small Box,Regular Air,07-09-2014,1.6,2.62,1.02,45.0,65.5,4.0,5.9,59.62,0.8,60.45,243743,43,35-44,Female
5012-1,28-01-2015,Phillip Flathmann,"Macquarie Centre Cnr Herring Road & Waterloo Road,Macquarie Park",Sydney,NSW,Home Office,Nicholas Fernandes,Medium,Smiths Metal Binder Clips,Technology,Small Box,Regular Air,29-01-2015,1.6,2.62,1.02,34.0,24.92,2.0,2.49,22.43,0.8,27.43,723557,33,25-34,Male
5014-1,08-06-2014,John Lee,"180 High Street,Windsor",Melbourne,VIC,Home Office,Connor Betts,Not Specified,Artisan Hole Reinforcements,Office Supplies,Wrap Bag,Regular Air,10-06-2014,3.99,6.23,2.24,25.0,194.36,10.0,15.93,178.12,6.97,189.45,712108,31,25-34,Male
5015-1,02-10-2014,Ritsa Hightower,"1/160 Anzac Parade,Kensington",Sydney,NSW,Corporate,Natasha Song,Critical,UGen Ultra Professional Cordless Optical Suite,Office Supplies,Small Box,Regular Air,04-10-2014,156.5,300.97,144.47,42.0,1079.62,4.0,30.83,1753.33,7.18,1705.42,140827,61,55-64,Female
